MHS_setting,type,subtype,short_label,Year,Percent
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2002,11.8
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2003,12.4
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2004,13.4
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2005,13.4
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2006,13
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2007,12.4
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2008,12.7
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2009,12
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2010,12.1
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2011,12.6
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2012,12.7
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2013,13.6
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2014,13.7
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2015,13.3
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2016,14.7
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2017,14.8
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2018,16
Outpatient,Specialty,Outpatient,Outpatient total,2002,10.8
Outpatient,Specialty,Outpatient,Outpatient total,2003,11.3
Outpatient,Specialty,Outpatient,Outpatient total,2004,12.1
Outpatient,Specialty,Outpatient,Outpatient total,2005,12.1
Outpatient,Specialty,Outpatient,Outpatient total,2006,11.7
Outpatient,Specialty,Outpatient,Outpatient total,2007,11.2
Outpatient,Specialty,Outpatient,Outpatient total,2008,11.5
Outpatient,Specialty,Outpatient,Outpatient total,2009,10.9
Outpatient,Specialty,Outpatient,Outpatient total,2010,10.9
Outpatient,Specialty,Outpatient,Outpatient total,2011,11.5
Outpatient,Specialty,Outpatient,Outpatient total,2012,11.5
Outpatient,Specialty,Outpatient,Outpatient total,2013,12.5
Outpatient,Specialty,Outpatient,Outpatient total,2014,12.7
Outpatient,Specialty,Outpatient,Outpatient total,2015,12
Outpatient,Specialty,Outpatient,Outpatient total,2016,13.2
Outpatient,Specialty,Outpatient,Outpatient total,2017,13.6
Outpatient,Specialty,Outpatient,Outpatient total,2018,14.5
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2002,9.2
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2003,9.5
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2004,10.1
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2005,10.2
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2006,9.6
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2007,9.5
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2008,9.8
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2009,9.4
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2010,9.4
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2011,9.8
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2012,9.8
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2013,10.5
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2014,11
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2015,10.3
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2016,11.5
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2017,11.8
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2018,12.6
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2002,2.5
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2003,2.6
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2004,2.9
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2005,2.6
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2006,2.3
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2007,2.3
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2008,2.3
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2009,2.2
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2010,2.3
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2011,2.2
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2012,2.5
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2013,3
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2014,3.1
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2015,3.2
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2016,3.8
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2017,4
Mental Health Clinic or Center,Specialty,Outpatient,Clinic,2018,4
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2002,1.8
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2003,1.7
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2004,1.8
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2005,1.8
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2006,1.9
Partial Day Hospital or Day Treatment Program,Specialty,Outpatient,Day program,2007,1.7
