MHS_setting,type,subtype,short_label,Year,Number
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2002,2898
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2003,3065
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2004,3348
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2005,3362
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2006,3255
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2007,3104
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2008,3129
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2009,2925
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2010,2920
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2011,3101
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2012,3118
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2013,3341
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2014,3369
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2015,3253
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2016,3598
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2017,3646
SPECIALTY MENTAL HEALTH SERVICE,Specialty,Specialty_total,Specialty total,2018,3901
Outpatient,Specialty,Outpatient,Outpatient total,2002,2662
Outpatient,Specialty,Outpatient,Outpatient total,2003,2795
Outpatient,Specialty,Outpatient,Outpatient total,2004,3015
Outpatient,Specialty,Outpatient,Outpatient total,2005,3048
Outpatient,Specialty,Outpatient,Outpatient total,2006,2931
Outpatient,Specialty,Outpatient,Outpatient total,2007,2787
Outpatient,Specialty,Outpatient,Outpatient total,2008,2837
Outpatient,Specialty,Outpatient,Outpatient total,2009,2650
Outpatient,Specialty,Outpatient,Outpatient total,2010,2635
Outpatient,Specialty,Outpatient,Outpatient total,2011,2842
Outpatient,Specialty,Outpatient,Outpatient total,2012,2846
Outpatient,Specialty,Outpatient,Outpatient total,2013,3064
Outpatient,Specialty,Outpatient,Outpatient total,2014,3110
Outpatient,Specialty,Outpatient,Outpatient total,2015,2958
Outpatient,Specialty,Outpatient,Outpatient total,2016,3239
Outpatient,Specialty,Outpatient,Outpatient total,2017,3328
Outpatient,Specialty,Outpatient,Outpatient total,2018,3547
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2002,2254
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2003,2347
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2004,2523
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2005,2573
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2006,2416
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2007,2365
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2008,2408
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2009,2296
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2010,2265
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2011,2409
Private Therapist Psychologist Psychiatrist Social Worker or Counselor,Specialty,Outpatient,Therapist,2012,2427
